,supply_volume,demand_volume,demand_volume_energy,supply_volume_energy,price,max_price,min_price,node,product_start,product_end,only_hours,market_id,time,simulation
112,0.14638,0.14638,0.14638,0.14638,128.08,128.08,128.08,,2023-09-09 15:00:00,2023-09-09 16:00:00,,MGP,2023-09-09 15:00:00,retailer_world
113,0,0,0,0,0,0,0,,2023-09-09 15:00:00,2023-09-09 16:00:00,,MI1,2023-09-09 15:00:00,retailer_world
114,0,0,0,0,0,0,0,,2023-09-09 15:00:00,2023-09-09 16:00:00,,MI2,2023-09-09 15:00:00,retailer_world
115,0,0,0,0,0,0,0,,2023-09-09 15:00:00,2023-09-09 16:00:00,,MI3,2023-09-09 15:00:00,retailer_world
116,0,0,0,0,0,0,0,,2023-09-09 15:00:00,2023-09-09 16:00:00,,MI4,2023-09-09 15:00:00,retailer_world
117,0,0,0,0,0,0,0,,2023-09-09 15:00:00,2023-09-09 16:00:00,,MI5,2023-09-09 15:00:00,retailer_world
118,0,0,0,0,0,0,0,,2023-09-09 15:00:00,2023-09-09 16:00:00,,MI6,2023-09-09 15:00:00,retailer_world
119,0,0,0,0,0,0,0,,2023-09-09 15:00:00,2023-09-09 16:00:00,,MI7,2023-09-09 15:00:00,retailer_world
120,0.14667,0.14667,0.14667,0.14667,128.08,128.08,128.08,,2023-09-09 16:00:00,2023-09-09 17:00:00,,MGP,2023-09-09 16:00:00,retailer_world
121,0,0,0,0,0,0,0,,2023-09-09 16:00:00,2023-09-09 17:00:00,,MI1,2023-09-09 16:00:00,retailer_world
122,0,0,0,0,0,0,0,,2023-09-09 16:00:00,2023-09-09 17:00:00,,MI2,2023-09-09 16:00:00,retailer_world
123,0,0,0,0,0,0,0,,2023-09-09 16:00:00,2023-09-09 17:00:00,,MI3,2023-09-09 16:00:00,retailer_world
124,0,0,0,0,0,0,0,,2023-09-09 16:00:00,2023-09-09 17:00:00,,MI4,2023-09-09 16:00:00,retailer_world
125,0,0,0,0,0,0,0,,2023-09-09 16:00:00,2023-09-09 17:00:00,,MI5,2023-09-09 16:00:00,retailer_world
126,0,0,0,0,0,0,0,,2023-09-09 16:00:00,2023-09-09 17:00:00,,MI6,2023-09-09 16:00:00,retailer_world
127,0,0,0,0,0,0,0,,2023-09-09 16:00:00,2023-09-09 17:00:00,,MI7,2023-09-09 16:00:00,retailer_world
128,0.14425,0.14425,0.14425,0.14425,128.08,128.08,128.08,,2023-09-09 17:00:00,2023-09-09 18:00:00,,MGP,2023-09-09 17:00:00,retailer_world
129,0,0,0,0,0,0,0,,2023-09-09 17:00:00,2023-09-09 18:00:00,,MI1,2023-09-09 17:00:00,retailer_world
130,0,0,0,0,0,0,0,,2023-09-09 17:00:00,2023-09-09 18:00:00,,MI2,2023-09-09 17:00:00,retailer_world
131,0,0,0,0,0,0,0,,2023-09-09 17:00:00,2023-09-09 18:00:00,,MI3,2023-09-09 17:00:00,retailer_world
132,0,0,0,0,0,0,0,,2023-09-09 17:00:00,2023-09-09 18:00:00,,MI4,2023-09-09 17:00:00,retailer_world
133,0,0,0,0,0,0,0,,2023-09-09 17:00:00,2023-09-09 18:00:00,,MI5,2023-09-09 17:00:00,retailer_world
134,0,0,0,0,0,0,0,,2023-09-09 17:00:00,2023-09-09 18:00:00,,MI6,2023-09-09 17:00:00,retailer_world
135,0,0,0,0,0,0,0,,2023-09-09 17:00:00,2023-09-09 18:00:00,,MI7,2023-09-09 17:00:00,retailer_world
136,0.12214,0.12214,0.12214,0.12214,128.08,128.08,128.08,,2023-09-09 18:00:00,2023-09-09 19:00:00,,MGP,2023-09-09 18:00:00,retailer_world
137,0,0,0,0,0,0,0,,2023-09-09 18:00:00,2023-09-09 19:00:00,,MI1,2023-09-09 18:00:00,retailer_world
138,0,0,0,0,0,0,0,,2023-09-09 18:00:00,2023-09-09 19:00:00,,MI2,2023-09-09 18:00:00,retailer_world
139,0,0,0,0,0,0,0,,2023-09-09 18:00:00,2023-09-09 19:00:00,,MI3,2023-09-09 18:00:00,retailer_world
140,0,0,0,0,0,0,0,,2023-09-09 18:00:00,2023-09-09 19:00:00,,MI4,2023-09-09 18:00:00,retailer_world
141,0,0,0,0,0,0,0,,2023-09-09 18:00:00,2023-09-09 19:00:00,,MI5,2023-09-09 18:00:00,retailer_world
142,0,0,0,0,0,0,0,,2023-09-09 18:00:00,2023-09-09 19:00:00,,MI6,2023-09-09 18:00:00,retailer_world
143,0,0,0,0,0,0,0,,2023-09-09 18:00:00,2023-09-09 19:00:00,,MI7,2023-09-09 18:00:00,retailer_world
144,0.1247,0.1247,0.1247,0.1247,128.08,128.08,128.08,,2023-09-09 19:00:00,2023-09-09 20:00:00,,MGP,2023-09-09 19:00:00,retailer_world
145,0,0,0,0,0,0,0,,2023-09-09 19:00:00,2023-09-09 20:00:00,,MI1,2023-09-09 19:00:00,retailer_world
146,0,0,0,0,0,0,0,,2023-09-09 19:00:00,2023-09-09 20:00:00,,MI2,2023-09-09 19:00:00,retailer_world
147,0,0,0,0,0,0,0,,2023-09-09 19:00:00,2023-09-09 20:00:00,,MI3,2023-09-09 19:00:00,retailer_world
148,0,0,0,0,0,0,0,,2023-09-09 19:00:00,2023-09-09 20:00:00,,MI4,2023-09-09 19:00:00,retailer_world
149,0,0,0,0,0,0,0,,2023-09-09 19:00:00,2023-09-09 20:00:00,,MI5,2023-09-09 19:00:00,retailer_world
150,0,0,0,0,0,0,0,,2023-09-09 19:00:00,2023-09-09 20:00:00,,MI6,2023-09-09 19:00:00,retailer_world
151,0,0,0,0,0,0,0,,2023-09-09 19:00:00,2023-09-09 20:00:00,,MI7,2023-09-09 19:00:00,retailer_world
152,0.12158,0.12158,0.12158,0.12158,128.08,128.08,128.08,,2023-09-09 20:00:00,2023-09-09 21:00:00,,MGP,2023-09-09 20:00:00,retailer_world
153,0,0,0,0,0,0,0,,2023-09-09 20:00:00,2023-09-09 21:00:00,,MI1,2023-09-09 20:00:00,retailer_world
154,0,0,0,0,0,0,0,,2023-09-09 20:00:00,2023-09-09 21:00:00,,MI2,2023-09-09 20:00:00,retailer_world
155,0,0,0,0,0,0,0,,2023-09-09 20:00:00,2023-09-09 21:00:00,,MI3,2023-09-09 20:00:00,retailer_world
156,0,0,0,0,0,0,0,,2023-09-09 20:00:00,2023-09-09 21:00:00,,MI4,2023-09-09 20:00:00,retailer_world
157,0,0,0,0,0,0,0,,2023-09-09 20:00:00,2023-09-09 21:00:00,,MI5,2023-09-09 20:00:00,retailer_world
158,0,0,0,0,0,0,0,,2023-09-09 20:00:00,2023-09-09 21:00:00,,MI6,2023-09-09 20:00:00,retailer_world
159,0,0,0,0,0,0,0,,2023-09-09 20:00:00,2023-09-09 21:00:00,,MI7,2023-09-09 20:00:00,retailer_world
160,0.11355,0.11355,0.11355,0.11355,128.08,128.08,128.08,,2023-09-09 21:00:00,2023-09-09 22:00:00,,MGP,2023-09-09 21:00:00,retailer_world
161,0,0,0,0,0,0,0,,2023-09-09 21:00:00,2023-09-09 22:00:00,,MI1,2023-09-09 21:00:00,retailer_world
162,0,0,0,0,0,0,0,,2023-09-09 21:00:00,2023-09-09 22:00:00,,MI2,2023-09-09 21:00:00,retailer_world
163,0,0,0,0,0,0,0,,2023-09-09 21:00:00,2023-09-09 22:00:00,,MI3,2023-09-09 21:00:00,retailer_world
164,0,0,0,0,0,0,0,,2023-09-09 21:00:00,2023-09-09 22:00:00,,MI4,2023-09-09 21:00:00,retailer_world
165,0,0,0,0,0,0,0,,2023-09-09 21:00:00,2023-09-09 22:00:00,,MI5,2023-09-09 21:00:00,retailer_world
166,0,0,0,0,0,0,0,,2023-09-09 21:00:00,2023-09-09 22:00:00,,MI6,2023-09-09 21:00:00,retailer_world
167,0,0,0,0,0,0,0,,2023-09-09 21:00:00,2023-09-09 22:00:00,,MI7,2023-09-09 21:00:00,retailer_world
168,0.10921,0.10921,0.10921,0.10921,128.08,128.08,128.08,,2023-09-09 22:00:00,2023-09-09 23:00:00,,MGP,2023-09-09 22:00:00,retailer_world
169,0,0,0,0,0,0,0,,2023-09-09 22:00:00,2023-09-09 23:00:00,,MI1,2023-09-09 22:00:00,retailer_world
170,0,0,0,0,0,0,0,,2023-09-09 22:00:00,2023-09-09 23:00:00,,MI2,2023-09-09 22:00:00,retailer_world
171,0,0,0,0,0,0,0,,2023-09-09 22:00:00,2023-09-09 23:00:00,,MI3,2023-09-09 22:00:00,retailer_world
172,0,0,0,0,0,0,0,,2023-09-09 22:00:00,2023-09-09 23:00:00,,MI4,2023-09-09 22:00:00,retailer_world
173,0,0,0,0,0,0,0,,2023-09-09 22:00:00,2023-09-09 23:00:00,,MI5,2023-09-09 22:00:00,retailer_world
174,0,0,0,0,0,0,0,,2023-09-09 22:00:00,2023-09-09 23:00:00,,MI6,2023-09-09 22:00:00,retailer_world
175,0,0,0,0,0,0,0,,2023-09-09 22:00:00,2023-09-09 23:00:00,,MI7,2023-09-09 22:00:00,retailer_world
176,0.13659,0.13659,0.13659,0.13659,105.99,105.99,105.99,,2023-09-09 23:00:00,2023-09-10 00:00:00,,MGP,2023-09-09 23:00:00,retailer_world
177,0,0,0,0,0,0,0,,2023-09-09 23:00:00,2023-09-10 00:00:00,,MI1,2023-09-09 23:00:00,retailer_world
178,0,0,0,0,0,0,0,,2023-09-09 23:00:00,2023-09-10 00:00:00,,MI2,2023-09-09 23:00:00,retailer_world
179,0,0,0,0,0,0,0,,2023-09-09 23:00:00,2023-09-10 00:00:00,,MI3,2023-09-09 23:00:00,retailer_world
180,0,0,0,0,0,0,0,,2023-09-09 23:00:00,2023-09-10 00:00:00,,MI4,2023-09-09 23:00:00,retailer_world
181,0,0,0,0,0,0,0,,2023-09-09 23:00:00,2023-09-10 00:00:00,,MI5,2023-09-09 23:00:00,retailer_world
182,0,0,0,0,0,0,0,,2023-09-09 23:00:00,2023-09-10 00:00:00,,MI6,2023-09-09 23:00:00,retailer_world
183,0,0,0,0,0,0,0,,2023-09-09 23:00:00,2023-09-10 00:00:00,,MI7,2023-09-09 23:00:00,retailer_world
0,0.12793,0.12793,0.12793,0.12793,105.99,105.99,105.99,,2023-09-10 00:00:00,2023-09-10 01:00:00,,MGP,2023-09-10 00:00:00,retailer_world
1,0,0,0,0,0,0,0,,2023-09-10 00:00:00,2023-09-10 01:00:00,,MI1,2023-09-10 00:00:00,retailer_world
2,0,0,0,0,0,0,0,,2023-09-10 00:00:00,2023-09-10 01:00:00,,MI2,2023-09-10 00:00:00,retailer_world
3,0,0,0,0,0,0,0,,2023-09-10 00:00:00,2023-09-10 01:00:00,,MI3,2023-09-10 00:00:00,retailer_world
4,0,0,0,0,0,0,0,,2023-09-10 00:00:00,2023-09-10 01:00:00,,MI4,2023-09-10 00:00:00,retailer_world
5,0,0,0,0,0,0,0,,2023-09-10 00:00:00,2023-09-10 01:00:00,,MI5,2023-09-10 00:00:00,retailer_world
6,0,0,0,0,0,0,0,,2023-09-10 00:00:00,2023-09-10 01:00:00,,MI6,2023-09-10 00:00:00,retailer_world
7,0,0,0,0,0,0,0,,2023-09-10 00:00:00,2023-09-10 01:00:00,,MI7,2023-09-10 00:00:00,retailer_world
8,0.11745,0.11745,0.11745,0.11745,105.99,105.99,105.99,,2023-09-10 01:00:00,2023-09-10 02:00:00,,MGP,2023-09-10 01:00:00,retailer_world
9,0,0,0,0,0,0,0,,2023-09-10 01:00:00,2023-09-10 02:00:00,,MI1,2023-09-10 01:00:00,retailer_world
10,0,0,0,0,0,0,0,,2023-09-10 01:00:00,2023-09-10 02:00:00,,MI2,2023-09-10 01:00:00,retailer_world
11,0,0,0,0,0,0,0,,2023-09-10 01:00:00,2023-09-10 02:00:00,,MI3,2023-09-10 01:00:00,retailer_world
12,0,0,0,0,0,0,0,,2023-09-10 01:00:00,2023-09-10 02:00:00,,MI4,2023-09-10 01:00:00,retailer_world
13,0,0,0,0,0,0,0,,2023-09-10 01:00:00,2023-09-10 02:00:00,,MI5,2023-09-10 01:00:00,retailer_world
