time,power,energy_generation_costs,unit,energy_cashflow,simulation
2023-09-13 09:00:00,0.19067,19.214,19.214,Retailer,retailer_world
2023-09-13 09:00:00,-0.16207,19.214,-19.214,TernaAgent,retailer_world
2023-09-13 10:00:00,0.21028,21.19,21.19,Retailer,retailer_world
2023-09-13 10:00:00,-0.17874,21.19,-21.19,TernaAgent,retailer_world
2023-09-13 11:00:00,0.20867,21.028,21.056,Retailer,retailer_world
2023-09-13 11:00:00,-0.17764,21.028,-21.056,TernaAgent,retailer_world
2023-09-13 12:00:00,0.17403,17.537,17.538,Retailer,retailer_world
2023-09-13 12:00:00,-0.14794,17.537,-17.538,TernaAgent,retailer_world
2023-09-13 13:00:00,0.16959,25.132,25.132,Retailer,retailer_world
2023-09-13 13:00:00,-0.21199,25.132,-25.132,TernaAgent,retailer_world
2023-09-13 14:00:00,0.17642,18.947,18.984,Retailer,retailer_world
2023-09-13 14:00:00,-0.16023,18.947,-18.984,TernaAgent,retailer_world
2023-09-13 15:00:00,0.18007,26.685,26.685,Retailer,retailer_world
2023-09-13 15:00:00,-0.22509,26.685,-26.685,TernaAgent,retailer_world
2023-09-13 16:00:00,0.19515,19.665,19.718,Retailer,retailer_world
2023-09-13 16:00:00,-0.16639,19.665,-19.718,TernaAgent,retailer_world
2023-09-13 17:00:00,0.21719,32.185,32.185,Retailer,retailer_world
2023-09-13 17:00:00,-0.27149,32.185,-32.185,TernaAgent,retailer_world
2023-09-13 18:00:00,0.1893,28.052,28.052,Retailer,retailer_world
2023-09-13 18:00:00,-0.23663,28.052,-28.052,TernaAgent,retailer_world
2023-09-13 19:00:00,0.21226,33.983,33.983,Retailer,retailer_world
2023-09-13 19:00:00,-0.26533,33.983,-33.983,TernaAgent,retailer_world
2023-09-13 20:00:00,0.2108,33.749,33.749,Retailer,retailer_world
2023-09-13 20:00:00,-0.2635,33.749,-33.749,TernaAgent,retailer_world
2023-09-13 21:00:00,0.17177,27.501,27.501,Retailer,retailer_world
2023-09-13 21:00:00,-0.21471,27.501,-27.501,TernaAgent,retailer_world
2023-09-13 22:00:00,0.13249,21.212,21.212,Retailer,retailer_world
2023-09-13 22:00:00,-0.16561,21.212,-21.212,TernaAgent,retailer_world
2023-09-13 23:00:00,0.12824,16.99,16.99,Retailer,retailer_world
2023-09-13 23:00:00,-0.1603,16.99,-16.99,TernaAgent,retailer_world
2023-09-14 00:00:00,0.12008,10.818,10.818,Retailer,retailer_world
2023-09-14 00:00:00,-0.10207,10.818,-10.818,TernaAgent,retailer_world
2023-09-14 01:00:00,0.11041,14.628,14.628,Retailer,retailer_world
2023-09-14 01:00:00,-0.13801,14.628,-14.628,TernaAgent,retailer_world
2023-09-14 02:00:00,0.10686,14.158,14.158,Retailer,retailer_world
2023-09-14 02:00:00,-0.13358,14.158,-14.158,TernaAgent,retailer_world
2023-09-14 03:00:00,0.09221,12.217,12.217,Retailer,retailer_world
2023-09-14 03:00:00,-0.11526,12.217,-12.217,TernaAgent,retailer_world
2023-09-14 04:00:00,0.09463,12.537,12.537,Retailer,retailer_world
2023-09-14 04:00:00,-0.11829,12.537,-12.537,TernaAgent,retailer_world
2023-09-14 05:00:00,0.09609,12.731,12.731,Retailer,retailer_world
2023-09-14 05:00:00,-0.12011,12.731,-12.731,TernaAgent,retailer_world
2023-09-14 06:00:00,0.10729,14.215,14.215,Retailer,retailer_world
2023-09-14 06:00:00,-0.13411,14.215,-14.215,TernaAgent,retailer_world
2023-09-14 07:00:00,0.14509,23.229,23.229,Retailer,retailer_world
2023-09-14 07:00:00,-0.18136,23.229,-23.229,TernaAgent,retailer_world
2023-09-14 08:00:00,0.19961,29.58,29.58,Retailer,retailer_world
2023-09-14 08:00:00,-0.24951,29.58,-29.58,TernaAgent,retailer_world
2023-09-14 09:00:00,0.19858,29.428,29.428,Retailer,retailer_world
2023-09-14 09:00:00,-0.24823,29.428,-29.428,TernaAgent,retailer_world
2023-09-14 10:00:00,0.19236,28.506,28.506,Retailer,retailer_world
2023-09-14 10:00:00,-0.24045,28.506,-28.506,TernaAgent,retailer_world
2023-09-14 11:00:00,0.22278,22.449,22.494,Retailer,retailer_world
2023-09-14 11:00:00,-0.18974,22.449,-22.494,TernaAgent,retailer_world
2023-09-14 12:00:00,0.17378,25.752,25.752,Retailer,retailer_world
2023-09-14 12:00:00,-0.21723,25.752,-25.752,TernaAgent,retailer_world
2023-09-14 13:00:00,0.18993,19.139,19.154,Retailer,retailer_world
2023-09-14 13:00:00,-0.16158,19.139,-19.154,TernaAgent,retailer_world
2023-09-14 14:00:00,0.18314,18.455,18.499,Retailer,retailer_world
2023-09-14 14:00:00,-0.15611,18.455,-18.499,TernaAgent,retailer_world
2023-09-14 15:00:00,0.15392,22.809,22.809,Retailer,retailer_world
2023-09-14 15:00:00,-0.1924,22.809,-22.809,TernaAgent,retailer_world
2023-09-14 16:00:00,0.17222,25.521,25.521,Retailer,retailer_world
2023-09-14 16:00:00,-0.21528,25.521,-25.521,TernaAgent,retailer_world
2023-09-14 17:00:00,0.18556,18.699,18.699,Retailer,retailer_world
2023-09-14 17:00:00,-0.15773,18.699,-18.699,TernaAgent,retailer_world
2023-09-14 18:00:00,0.14441,14.552,14.552,Retailer,retailer_world
2023-09-14 18:00:00,-0.12275,14.552,-14.552,TernaAgent,retailer_world
2023-09-14 19:00:00,0.16526,26.459,26.459,Retailer,retailer_world
2023-09-14 19:00:00,-0.20657,26.459,-26.459,TernaAgent,retailer_world
2023-09-14 20:00:00,0.15319,24.526,24.526,Retailer,retailer_world
2023-09-14 20:00:00,-0.19149,24.526,-24.526,TernaAgent,retailer_world
2023-09-14 21:00:00,0.1409,22.558,22.558,Retailer,retailer_world
2023-09-14 21:00:00,-0.17612,22.558,-22.558,TernaAgent,retailer_world
2023-09-14 22:00:00,0.12353,18.597,18.597,Retailer,retailer_world
2023-09-14 22:00:00,-0.1452,18.597,-18.597,TernaAgent,retailer_world
2023-09-14 23:00:00,0.11257,14.914,14.914,Retailer,retailer_world
2023-09-14 23:00:00,-0.14071,14.914,-14.914,TernaAgent,retailer_world
2023-09-15 00:00:00,0.09996,9.0056,9.0056,Retailer,retailer_world
2023-09-15 00:00:00,-0.084966,9.0056,-9.0056,TernaAgent,retailer_world
2023-09-15 01:00:00,0.09404,12.459,12.459,Retailer,retailer_world
2023-09-15 01:00:00,-0.11755,12.459,-12.459,TernaAgent,retailer_world
2023-09-15 02:00:00,0.09442,12.509,12.509,Retailer,retailer_world
2023-09-15 02:00:00,-0.11802,12.509,-12.509,TernaAgent,retailer_world
2023-09-15 03:00:00,0.09046,11.985,11.985,Retailer,retailer_world
2023-09-15 03:00:00,-0.11307,11.985,-11.985,TernaAgent,retailer_world
2023-09-15 04:00:00,0.099009,13.117,13.117,Retailer,retailer_world
2023-09-15 04:00:00,-0.12376,13.117,-13.117,TernaAgent,retailer_world
2023-09-15 05:00:00,0.096579,12.796,12.796,Retailer,retailer_world
2023-09-15 05:00:00,-0.12072,12.796,-12.796,TernaAgent,retailer_world
2023-09-15 06:00:00,0.11013,14.591,14.591,Retailer,retailer_world
2023-09-15 06:00:00,-0.13766,14.591,-14.591,TernaAgent,retailer_world
2023-09-15 07:00:00,0.15908,25.469,25.469,Retailer,retailer_world
2023-09-15 07:00:00,-0.19885,25.469,-25.469,TernaAgent,retailer_world
2023-09-15 08:00:00,0.23674,35.082,35.082,Retailer,retailer_world
